series_id,best_year,annual_value
PRS85006171,2020,12.0
PRS85006172,2020,18.299999999999997
PRS85006173,2001,558.579
PRS88003011,2022,25.2
PRS88003012,2021,26.2
PRS88003013,2024,541.048
PRS88003021,2010,6.4
PRS88003022,2010,7.6
PRS88003023,1997,517.819
PRS88003031,2021,26.1
PRS88003032,2021,27.299999999999997
PRS88003033,2024,529.825
PRS88003041,2021,49.6
PRS88003042,2021,39.099999999999994
PRS88003043,2024,618.056
PRS88003051,2021,75.89999999999999
PRS88003052,2021,73.3
PRS88003053,2024,765.554
PRS88003061,2021,51.800000000000004
PRS88003062,2021,53.8
PRS88003063,2024,740.6759999999999
PRS88003081,2021,113.6
PRS88003082,2021,103.9
PRS88003083,2024,800.793
PRS88003091,2021,22.3
PRS88003092,2020,24.8
PRS88003093,2024,583.2570000000001
PRS88003101,2020,39.7
PRS88003102,2020,46.5
PRS88003103,2024,698.975
PRS88003111,2020,22.3
PRS88003112,2020,20.5
PRS88003113,2024,599.204
PRS88003121,2022,76.2
PRS88003122,2022,60.0
PRS88003123,2024,550.97
PRS88003131,2022,59.1
PRS88003132,2021,59.900000000000006
PRS88003133,2024,647.8019999999999
PRS88003141,2022,36.9
PRS88003142,2022,32.5
PRS88003143,2024,619.314
PRS88003151,2020,32.6
PRS88003152,2020,41.199999999999996
PRS88003153,2021,550.058
PRS88003161,2010,27.3
PRS88003162,2020,26.7
PRS88003163,2024,571.157
PRS88003171,2020,15.2
PRS88003172,2020,14.500000000000002
PRS88003173,2001,558.625
PRS88003181,2021,209.79999999999998
PRS88003182,2002,308.0
PRS88003183,2024,1064.205
PRS88003191,2010,153.0
PRS88003192,2002,282.8
PRS88003193,2024,860.838
PRS88003201,2022,37.2
PRS88003202,2022,28.700000000000003
PRS88003203,2024,583.441
